
Due to MODULEPATH changes, the following have been reloaded:
  1) mii/1.1.1

/cvmfs/soft.computecanada.ca/easybuild/software/2020/avx512/Compiler/intel2020/openmpi/4.0.3/bin/mpiexec
/cvmfs/soft.computecanada.ca/easybuild/software/2020/avx512/Compiler/intel2020/openmpi/4.0.3/bin/mpirun
Number of Vertices for coarse grid 2253001
Number of Vertices for fine mesh in process  0  115384
2	
	-111111	  3	
order of input  2
order of output  3
Mean of Gaussian  0
Sd of Gaussian  0.3
     60 KSP Residual norm 1.512221314667e-01 
     61 KSP Residual norm 1.496717893905e-01 
     62 KSP Residual norm 1.484805635548e-01 
     63 KSP Residual norm 1.471495844500e-01 
     64 KSP Residual norm 1.460310015293e-01 
     65 KSP Residual norm 1.451126016167e-01 
     66 KSP Residual norm 1.439395580974e-01 
     67 KSP Residual norm 1.428296818900e-01 
     68 KSP Residual norm 1.417520106838e-01 
     69 KSP Residual norm 1.407223191833e-01 
     70 KSP Residual norm 1.395017400916e-01 
     71 KSP Residual norm 1.383809492688e-01 
     72 KSP Residual norm 1.372454223922e-01 
     73 KSP Residual norm 1.362197827309e-01 
     74 KSP Residual norm 1.349644710000e-01 
     75 KSP Residual norm 1.336603906730e-01 
     76 KSP Residual norm 1.327132306620e-01 
     77 KSP Residual norm 1.316821178505e-01 
     78 KSP Residual norm 1.303787115423e-01 
     79 KSP Residual norm 1.294114439489e-01 
     80 KSP Residual norm 1.285576586547e-01 
     81 KSP Residual norm 1.276006736540e-01 
     82 KSP Residual norm 1.267494132706e-01 
     83 KSP Residual norm 1.259867735489e-01 
     84 KSP Residual norm 1.252669291341e-01 
     85 KSP Residual norm 1.244358611343e-01 
     86 KSP Residual norm 1.237885640626e-01 
     87 KSP Residual norm 1.231060274829e-01 
     88 KSP Residual norm 1.223591106202e-01 
     89 KSP Residual norm 1.216216802236e-01 
     90 KSP Residual norm 1.209242581231e-01 
     91 KSP Residual norm 1.204520313735e-01 
     92 KSP Residual norm 1.200287218232e-01 
     93 KSP Residual norm 1.195287714906e-01 
     94 KSP Residual norm 1.191271630437e-01 
     95 KSP Residual norm 1.187580744469e-01 
     96 KSP Residual norm 1.182845637482e-01 
     97 KSP Residual norm 1.178567383169e-01 
     98 KSP Residual norm 1.174430719352e-01 
     99 KSP Residual norm 1.169773820719e-01 
    100 KSP Residual norm 1.164517727775e-01 
    Linear mg_coarse_ solve did not converge due to DIVERGED_ITS iterations 100
  6 KSP Residual norm 1.022316372662e-04 
      Residual norms for mg_coarse_ solve.
      0 KSP Residual norm 7.169127344745e-01 
      1 KSP Residual norm 5.260776381233e-01 
      2 KSP Residual norm 4.412973630714e-01 
      3 KSP Residual norm 3.951996564590e-01 
      4 KSP Residual norm 3.564868505285e-01 
      5 KSP Residual norm 3.254993204208e-01 
      6 KSP Residual norm 3.066994987964e-01 
      7 KSP Residual norm 2.919870775212e-01 
      8 KSP Residual norm 2.760689956677e-01 
      9 KSP Residual norm 2.644367217664e-01 
     10 KSP Residual norm 2.558557332303e-01 
     11 KSP Residual norm 2.462216113301e-01 
     12 KSP Residual norm 2.378693193992e-01 
     13 KSP Residual norm 2.315504241474e-01 
     14 KSP Residual norm 2.260649032753e-01 
     15 KSP Residual norm 2.206116745233e-01 
     16 KSP Residual norm 2.154695036185e-01 
     17 KSP Residual norm 2.113317688620e-01 
     18 KSP Residual norm 2.076744517485e-01 
     19 KSP Residual norm 2.036656819917e-01 
     20 KSP Residual norm 2.006657755432e-01 
     21 KSP Residual norm 1.982673670284e-01 
     22 KSP Residual norm 1.956094633710e-01 
     23 KSP Residual norm 1.931818766187e-01 
     24 KSP Residual norm 1.912235481060e-01 
     25 KSP Residual norm 1.893404892837e-01 
     26 KSP Residual norm 1.875011819453e-01 
     27 KSP Residual norm 1.858611658859e-01 
     28 KSP Residual norm 1.844566784284e-01 
     29 KSP Residual norm 1.831132943077e-01 
     30 KSP Residual norm 1.816607697579e-01 
     31 KSP Residual norm 1.811845245701e-01 
     32 KSP Residual norm 1.807753156557e-01 
     33 KSP Residual norm 1.798470346576e-01 
     34 KSP Residual norm 1.791519632621e-01 
     35 KSP Residual norm 1.785504614069e-01 
     36 KSP Residual norm 1.776593398146e-01 
     37 KSP Residual norm 1.767550955154e-01 
     38 KSP Residual norm 1.759172814808e-01 
     39 KSP Residual norm 1.751064172579e-01 
     40 KSP Residual norm 1.740188288026e-01 
     41 KSP Residual norm 1.730020942405e-01 
     42 KSP Residual norm 1.719215376623e-01 
     43 KSP Residual norm 1.707224132601e-01 
     44 KSP Residual norm 1.694181929977e-01 
     45 KSP Residual norm 1.681195000444e-01 
     46 KSP Residual norm 1.660166455456e-01 
     47 KSP Residual norm 1.639785185292e-01 
     48 KSP Residual norm 1.624380327051e-01 
     49 KSP Residual norm 1.607706844158e-01 
     50 KSP Residual norm 1.591469198876e-01 
     51 KSP Residual norm 1.572024332547e-01 
     52 KSP Residual norm 1.553535652216e-01 
     53 KSP Residual norm 1.533315482988e-01 
     54 KSP Residual norm 1.512096860037e-01 
     55 KSP Residual norm 1.488427789846e-01 
     56 KSP Residual norm 1.464587787550e-01 
     57 KSP Residual norm 1.439381033079e-01 
     58 KSP Residual norm 1.412717808068e-01 
     59 KSP Residual norm 1.383179395364e-01 
     60 KSP Residual norm 1.353190489639e-01 
     61 KSP Residual norm 1.341093947602e-01 
     62 KSP Residual norm 1.331662185019e-01 
     63 KSP Residual norm 1.321175921165e-01 
     64 KSP Residual norm 1.312597835044e-01 
     65 KSP Residual norm 1.305334651978e-01 
     66 KSP Residual norm 1.296056306594e-01 
     67 KSP Residual norm 1.287308723428e-01 
     68 KSP Residual norm 1.278921581069e-01 
     69 KSP Residual norm 1.270909292816e-01 
     70 KSP Residual norm 1.261541516910e-01 
     71 KSP Residual norm 1.252641990499e-01 
     72 KSP Residual norm 1.243837228550e-01 
     73 KSP Residual norm 1.235681540493e-01 
     74 KSP Residual norm 1.225457478936e-01 
     75 KSP Residual norm 1.214840000138e-01 
     76 KSP Residual norm 1.207122236609e-01 
     77 KSP Residual norm 1.198398436850e-01 
     78 KSP Residual norm 1.187484284772e-01 
     79 KSP Residual norm 1.179132598942e-01 
     80 KSP Residual norm 1.171670656896e-01 
     81 KSP Residual norm 1.163403346480e-01 
     82 KSP Residual norm 1.155830926660e-01 
     83 KSP Residual norm 1.149034650465e-01 
     84 KSP Residual norm 1.142686053069e-01 
     85 KSP Residual norm 1.135091688032e-01 
     86 KSP Residual norm 1.129203253552e-01 
     87 KSP Residual norm 1.123272783694e-01 
     88 KSP Residual norm 1.116425491249e-01 
     89 KSP Residual norm 1.109791746052e-01 
     90 KSP Residual norm 1.103661545606e-01 
     91 KSP Residual norm 1.099407161109e-01 
     92 KSP Residual norm 1.095506358877e-01 
     93 KSP Residual norm 1.090884459021e-01 
     94 KSP Residual norm 1.087162404084e-01 
     95 KSP Residual norm 1.083826611995e-01 
     96 KSP Residual norm 1.079367551672e-01 
     97 KSP Residual norm 1.075425268123e-01 
     98 KSP Residual norm 1.071586679566e-01 
     99 KSP Residual norm 1.067268392110e-01 
    100 KSP Residual norm 1.062281786848e-01 
    Linear mg_coarse_ solve did not converge due to DIVERGED_ITS iterations 100
  7 KSP Residual norm 3.713660996884e-05 
      Residual norms for mg_coarse_ solve.
      0 KSP Residual norm 7.890027951950e-01 
      1 KSP Residual norm 5.557839039091e-01 
      2 KSP Residual norm 4.631622025567e-01 
      3 KSP Residual norm 4.150987439328e-01 
      4 KSP Residual norm 3.746074273766e-01 
      5 KSP Residual norm 3.420804805870e-01 
      6 KSP Residual norm 3.219387364803e-01 
      7 KSP Residual norm 3.061344611037e-01 
      8 KSP Residual norm 2.900470248402e-01 
      9 KSP Residual norm 2.786343225389e-01 
     10 KSP Residual norm 2.700029974139e-01 
     11 KSP Residual norm 2.611400376404e-01 
     12 KSP Residual norm 2.528965119988e-01 
     13 KSP Residual norm 2.461531980494e-01 
     14 KSP Residual norm 2.406050910539e-01 
     15 KSP Residual norm 2.352922993328e-01 
     16 KSP Residual norm 2.301645416415e-01 
     17 KSP Residual norm 2.261912528376e-01 
     18 KSP Residual norm 2.226351788500e-01 
     19 KSP Residual norm 2.186431758423e-01 
     20 KSP Residual norm 2.156519259645e-01 
     21 KSP Residual norm 2.132634917708e-01 
     22 KSP Residual norm 2.107957721146e-01 
     23 KSP Residual norm 2.086995103456e-01 
     24 KSP Residual norm 2.069557518224e-01 
     25 KSP Residual norm 2.052792035156e-01 
     26 KSP Residual norm 2.036605516495e-01 
     27 KSP Residual norm 2.022035551179e-01 
     28 KSP Residual norm 2.009927749614e-01 
     29 KSP Residual norm 1.998416459875e-01 
     30 KSP Residual norm 1.985790228353e-01 
     31 KSP Residual norm 1.981898519546e-01 
     32 KSP Residual norm 1.978370360450e-01 
     33 KSP Residual norm 1.970521997520e-01 
     34 KSP Residual norm 1.964667634532e-01 
     35 KSP Residual norm 1.959484900711e-01 
     36 KSP Residual norm 1.951739099958e-01 
     37 KSP Residual norm 1.944414517657e-01 
     38 KSP Residual norm 1.937226030539e-01 
     39 KSP Residual norm 1.930336171145e-01 
     40 KSP Residual norm 1.921006775084e-01 
     41 KSP Residual norm 1.912014156078e-01 
     42 KSP Residual norm 1.902561725272e-01 
     43 KSP Residual norm 1.892394600502e-01 
     44 KSP Residual norm 1.881003067807e-01 
     45 KSP Residual norm 1.869521348550e-01 
     46 KSP Residual norm 1.850060253672e-01 
     47 KSP Residual norm 1.831024581012e-01 
     48 KSP Residual norm 1.816771083377e-01 
     49 KSP Residual norm 1.802795743439e-01 
     50 KSP Residual norm 1.787969121037e-01 
     51 KSP Residual norm 1.769912875174e-01 
     52 KSP Residual norm 1.752815955211e-01 
     53 KSP Residual norm 1.733227150463e-01 
     54 KSP Residual norm 1.710937078926e-01 
     55 KSP Residual norm 1.688026189074e-01 
     56 KSP Residual norm 1.662692257187e-01 
     57 KSP Residual norm 1.634636597246e-01 
     58 KSP Residual norm 1.604335803884e-01 
     59 KSP Residual norm 1.569651765259e-01 
     60 KSP Residual norm 1.531370185630e-01 
     61 KSP Residual norm 1.516220562512e-01 
     62 KSP Residual norm 1.503814297357e-01 
     63 KSP Residual norm 1.491115239404e-01 
     64 KSP Residual norm 1.480089236713e-01 
     65 KSP Residual norm 1.470084092506e-01 
     66 KSP Residual norm 1.457712339345e-01 
     67 KSP Residual norm 1.445190012868e-01 
     68 KSP Residual norm 1.433588520964e-01 
     69 KSP Residual norm 1.421564778053e-01 
     70 KSP Residual norm 1.407985338583e-01 
     71 KSP Residual norm 1.395091652797e-01 
     72 KSP Residual norm 1.382567351368e-01 
     73 KSP Residual norm 1.370096483928e-01 
     74 KSP Residual norm 1.354949545730e-01 
     75 KSP Residual norm 1.340093263486e-01 
     76 KSP Residual norm 1.329335751574e-01 
     77 KSP Residual norm 1.316565270571e-01 
     78 KSP Residual norm 1.302950561977e-01 
     79 KSP Residual norm 1.292672505386e-01 
     80 KSP Residual norm 1.283171913662e-01 
     81 KSP Residual norm 1.273750270603e-01 
     82 KSP Residual norm 1.265410257976e-01 
     83 KSP Residual norm 1.258365463619e-01 
     84 KSP Residual norm 1.251624816918e-01 
     85 KSP Residual norm 1.244241093536e-01 
     86 KSP Residual norm 1.238407095120e-01 
     87 KSP Residual norm 1.233236809763e-01 
     88 KSP Residual norm 1.227279465833e-01 
     89 KSP Residual norm 1.221060003427e-01 
     90 KSP Residual norm 1.216028329683e-01 
     91 KSP Residual norm 1.212917040790e-01 
     92 KSP Residual norm 1.209797484703e-01 
     93 KSP Residual norm 1.205491470094e-01 
     94 KSP Residual norm 1.202206784177e-01 
     95 KSP Residual norm 1.199290516148e-01 
     96 KSP Residual norm 1.194955513679e-01 
     97 KSP Residual norm 1.191030194857e-01 
     98 KSP Residual norm 1.187071521507e-01 
     99 KSP Residual norm 1.182648628055e-01 
    100 KSP Residual norm 1.176943873443e-01 
    Linear mg_coarse_ solve did not converge due to DIVERGED_ITS iterations 100
  8 KSP Residual norm 1.572061150221e-05 
      Residual norms for mg_coarse_ solve.
      0 KSP Residual norm 7.295336665899e-01 
      1 KSP Residual norm 5.236753688498e-01 
      2 KSP Residual norm 4.371241856455e-01 
      3 KSP Residual norm 3.914451176947e-01 
      4 KSP Residual norm 3.531362328347e-01 
      5 KSP Residual norm 3.225648551721e-01 
      6 KSP Residual norm 3.035600646166e-01 
      7 KSP Residual norm 2.888431960398e-01 
      8 KSP Residual norm 2.738605080731e-01 
      9 KSP Residual norm 2.627129745359e-01 
     10 KSP Residual norm 2.543391991423e-01 
     11 KSP Residual norm 2.454085117981e-01 
     12 KSP Residual norm 2.373387163794e-01 
     13 KSP Residual norm 2.309521495505e-01 
     14 KSP Residual norm 2.256979156290e-01 
     15 KSP Residual norm 2.206056174227e-01 
     16 KSP Residual norm 2.156472414034e-01 
     17 KSP Residual norm 2.117319314146e-01 
     18 KSP Residual norm 2.082261352406e-01 
     19 KSP Residual norm 2.043207083946e-01 
     20 KSP Residual norm 2.013940754450e-01 
     21 KSP Residual norm 1.990769765490e-01 
     22 KSP Residual norm 1.966896257414e-01 
     23 KSP Residual norm 1.946207122714e-01 
     24 KSP Residual norm 1.929142520025e-01 
     25 KSP Residual norm 1.912361047032e-01 
     26 KSP Residual norm 1.895888474764e-01 
     27 KSP Residual norm 1.881304057065e-01 
     28 KSP Residual norm 1.868832097405e-01 
     29 KSP Residual norm 1.856818186919e-01 
     30 KSP Residual norm 1.843857002105e-01 
     31 KSP Residual norm 1.839585057465e-01 
     32 KSP Residual norm 1.835761393762e-01 
     33 KSP Residual norm 1.827638436931e-01 
     34 KSP Residual norm 1.821448891365e-01 
     35 KSP Residual norm 1.815995932096e-01 
     36 KSP Residual norm 1.807950520557e-01 
     37 KSP Residual norm 1.800355568382e-01 
     38 KSP Residual norm 1.793088159372e-01 
     39 KSP Residual norm 1.785965305412e-01 
     40 KSP Residual norm 1.776397138170e-01 
     41 KSP Residual norm 1.767161393380e-01 
     42 KSP Residual norm 1.757440020706e-01 
     43 KSP Residual norm 1.746959260012e-01 
     44 KSP Residual norm 1.735310913264e-01 
     45 KSP Residual norm 1.723666359881e-01 
     46 KSP Residual norm 1.704709576033e-01 
     47 KSP Residual norm 1.685824549768e-01 
     48 KSP Residual norm 1.671578090017e-01 
     49 KSP Residual norm 1.657054083022e-01 
     50 KSP Residual norm 1.642378102279e-01 
     51 KSP Residual norm 1.624551860179e-01 
     52 KSP Residual norm 1.607264963076e-01 
     53 KSP Residual norm 1.588395858649e-01 
     54 KSP Residual norm 1.568028523991e-01 
     55 KSP Residual norm 1.545713548715e-01 
     56 KSP Residual norm 1.522634672005e-01 
     57 KSP Residual norm 1.497656450566e-01 
     58 KSP Residual norm 1.470648349834e-01 
     59 KSP Residual norm 1.440202114180e-01 
     60 KSP Residual norm 1.408508483265e-01 
     61 KSP Residual norm 1.395507494437e-01 
     62 KSP Residual norm 1.385139265993e-01 
     63 KSP Residual norm 1.374656373895e-01 
     64 KSP Residual norm 1.365728031992e-01 
     65 KSP Residual norm 1.357860403200e-01 
     66 KSP Residual norm 1.348140021828e-01 
     67 KSP Residual norm 1.338796809219e-01 
     68 KSP Residual norm 1.329501467610e-01 
     69 KSP Residual norm 1.320557452930e-01 
     70 KSP Residual norm 1.310237293152e-01 
     71 KSP Residual norm 1.300277957192e-01 
     72 KSP Residual norm 1.290376602257e-01 
     73 KSP Residual norm 1.280916178356e-01 
     74 KSP Residual norm 1.269095315725e-01 
     75 KSP Residual norm 1.257329801181e-01 
     76 KSP Residual norm 1.248842166714e-01 
     77 KSP Residual norm 1.239232750901e-01 
     78 KSP Residual norm 1.227873993604e-01 
     79 KSP Residual norm 1.219203357096e-01 
     80 KSP Residual norm 1.211201217605e-01 
     81 KSP Residual norm 1.202938405863e-01 
     82 KSP Residual norm 1.195653427072e-01 
     83 KSP Residual norm 1.189000025481e-01 
     84 KSP Residual norm 1.182977726349e-01 
     85 KSP Residual norm 1.175918629256e-01 
     86 KSP Residual norm 1.170494347969e-01 
     87 KSP Residual norm 1.165361594614e-01 
     88 KSP Residual norm 1.159348315702e-01 
     89 KSP Residual norm 1.153546876617e-01 
     90 KSP Residual norm 1.148366662844e-01 
     91 KSP Residual norm 1.144622501352e-01 
     92 KSP Residual norm 1.141300329466e-01 
     93 KSP Residual norm 1.137414323457e-01 
     94 KSP Residual norm 1.134084159408e-01 
     95 KSP Residual norm 1.131024899568e-01 
     96 KSP Residual norm 1.126989268551e-01 
     97 KSP Residual norm 1.123261597849e-01 
     98 KSP Residual norm 1.119593500957e-01 
     99 KSP Residual norm 1.115452955878e-01 
    100 KSP Residual norm 1.110378714686e-01 
    Linear mg_coarse_ solve did not converge due to DIVERGED_ITS iterations 100
  9 KSP Residual norm 4.209282033314e-06 
      Residual norms for mg_coarse_ solve.
      0 KSP Residual norm 6.883475653318e-01 
      1 KSP Residual norm 4.928825056488e-01 
      2 KSP Residual norm 4.111343625371e-01 
      3 KSP Residual norm 3.679888614618e-01 
      4 KSP Residual norm 3.318382739926e-01 
      5 KSP Residual norm 3.030496722866e-01 
      6 KSP Residual norm 2.852867801948e-01 
      7 KSP Residual norm 2.715132517491e-01 
      8 KSP Residual norm 2.572819388366e-01 
      9 KSP Residual norm 2.469488965745e-01 
     10 KSP Residual norm 2.391433522858e-01 
     11 KSP Residual norm 2.307852147045e-01 
     12 KSP Residual norm 2.234952306820e-01 
     13 KSP Residual norm 2.177099105001e-01 
     14 KSP Residual norm 2.129161708267e-01 
     15 KSP Residual norm 2.083388832351e-01 
     16 KSP Residual norm 2.037570553523e-01 
     17 KSP Residual norm 2.001349370677e-01 
     18 KSP Residual norm 1.970530051234e-01 
     19 KSP Residual norm 1.935833848801e-01 
     20 KSP Residual norm 1.910049945060e-01 
     21 KSP Residual norm 1.890125522294e-01 
     22 KSP Residual norm 1.868804318888e-01 
     23 KSP Residual norm 1.849586500506e-01 
     24 KSP Residual norm 1.834077192508e-01 
     25 KSP Residual norm 1.819762533497e-01 
     26 KSP Residual norm 1.806029689720e-01 
     27 KSP Residual norm 1.793869162178e-01 
     28 KSP Residual norm 1.784173245865e-01 
     29 KSP Residual norm 1.774982194789e-01 
     30 KSP Residual norm 1.765116136999e-01 
     31 KSP Residual norm 1.762316638901e-01 
     32 KSP Residual norm 1.759913358079e-01 
     33 KSP Residual norm 1.753945760670e-01 
     34 KSP Residual norm 1.749601571374e-01 
     35 KSP Residual norm 1.745812578947e-01 
     36 KSP Residual norm 1.740170846973e-01 
     37 KSP Residual norm 1.734647627411e-01 
     38 KSP Residual norm 1.729419708041e-01 
     39 KSP Residual norm 1.724543067261e-01 
     40 KSP Residual norm 1.718170365174e-01 
     41 KSP Residual norm 1.712102564067e-01 
     42 KSP Residual norm 1.705760807365e-01 
     43 KSP Residual norm 1.699099304793e-01 
     44 KSP Residual norm 1.691523598189e-01 
     45 KSP Residual norm 1.684161587013e-01 
     46 KSP Residual norm 1.672005359579e-01 
     47 KSP Residual norm 1.660885095139e-01 
     48 KSP Residual norm 1.652740323876e-01 
     49 KSP Residual norm 1.644770151130e-01 
     50 KSP Residual norm 1.636334864216e-01 
     51 KSP Residual norm 1.626093977892e-01 
     52 KSP Residual norm 1.617203009983e-01 
     53 KSP Residual norm 1.606871216943e-01 
     54 KSP Residual norm 1.595539186657e-01 
     55 KSP Residual norm 1.584151767523e-01 
     56 KSP Residual norm 1.571711515188e-01 
     57 KSP Residual norm 1.558935455369e-01 
     58 KSP Residual norm 1.545762237986e-01 
     59 KSP Residual norm 1.531524598793e-01 
     60 KSP Residual norm 1.517589054030e-01 
     61 KSP Residual norm 1.512875162561e-01 
     62 KSP Residual norm 1.509033295541e-01 
     63 KSP Residual norm 1.503578070188e-01 
     64 KSP Residual norm 1.499290643754e-01 
     65 KSP Residual norm 1.495304989900e-01 
     66 KSP Residual norm 1.489990150428e-01 
     67 KSP Residual norm 1.484806362346e-01 
     68 KSP Residual norm 1.479967062497e-01 
     69 KSP Residual norm 1.475090986383e-01 
     70 KSP Residual norm 1.469211952135e-01 
     71 KSP Residual norm 1.463476152244e-01 
     72 KSP Residual norm 1.458432059489e-01 
     73 KSP Residual norm 1.453208408395e-01 
     74 KSP Residual norm 1.446492187783e-01 
     75 KSP Residual norm 1.440581282844e-01 
     76 KSP Residual norm 1.435829724770e-01 
     77 KSP Residual norm 1.429542824691e-01 
     78 KSP Residual norm 1.423236869823e-01 
     79 KSP Residual norm 1.418802205976e-01 
     80 KSP Residual norm 1.414470533583e-01 
     81 KSP Residual norm 1.409880816323e-01 
     82 KSP Residual norm 1.406014160653e-01 
     83 KSP Residual norm 1.402403168517e-01 
     84 KSP Residual norm 1.398986535121e-01 
     85 KSP Residual norm 1.394962744678e-01 
     86 KSP Residual norm 1.391792661813e-01 
     87 KSP Residual norm 1.389043716875e-01 
     88 KSP Residual norm 1.385436763332e-01 
     89 KSP Residual norm 1.381604455927e-01 
     90 KSP Residual norm 1.378604444736e-01 
     91 KSP Residual norm 1.376908142559e-01 
     92 KSP Residual norm 1.375114121824e-01 
     93 KSP Residual norm 1.372319208145e-01 
     94 KSP Residual norm 1.370472976679e-01 
     95 KSP Residual norm 1.368872645660e-01 
     96 KSP Residual norm 1.366239145562e-01 
     97 KSP Residual norm 1.363981370279e-01 
     98 KSP Residual norm 1.361734833629e-01 
     99 KSP Residual norm 1.359221522497e-01 
    100 KSP Residual norm 1.356123671865e-01 
    Linear mg_coarse_ solve did not converge due to DIVERGED_ITS iterations 100
 10 KSP Residual norm 1.871334901038e-06 
      Residual norms for mg_coarse_ solve.
      0 KSP Residual norm 9.245137286698e-01 
      1 KSP Residual norm 6.646026096670e-01 
      2 KSP Residual norm 5.557463220021e-01 
      3 KSP Residual norm 4.981898187110e-01 
      4 KSP Residual norm 4.493884259535e-01 
      5 KSP Residual norm 4.106966212583e-01 
      6 KSP Residual norm 3.873393044325e-01 
      7 KSP Residual norm 3.684378986826e-01 
      8 KSP Residual norm 3.487121580441e-01 
      9 KSP Residual norm 3.355997893907e-01 
     10 KSP Residual norm 3.254110661380e-01 
     11 KSP Residual norm 3.149687816956e-01 
     12 KSP Residual norm 3.057353087088e-01 
     13 KSP Residual norm 2.980997050954e-01 
     14 KSP Residual norm 2.916987205603e-01 
     15 KSP Residual norm 2.856538309909e-01 
     16 KSP Residual norm 2.800755880658e-01 
     17 KSP Residual norm 2.757734690904e-01 
     18 KSP Residual norm 2.719426272815e-01 
     19 KSP Residual norm 2.675498749265e-01 
     20 KSP Residual norm 2.642466638911e-01 
     21 KSP Residual norm 2.616031365823e-01 
     22 KSP Residual norm 2.587296406657e-01 
     23 KSP Residual norm 2.564071252116e-01 
     24 KSP Residual norm 2.545629622175e-01 
     25 KSP Residual norm 2.528378657535e-01 
     26 KSP Residual norm 2.512129815485e-01 
     27 KSP Residual norm 2.498024157718e-01 
     28 KSP Residual norm 2.487255627159e-01 
     29 KSP Residual norm 2.477285199571e-01 
     30 KSP Residual norm 2.466583597406e-01 
     31 KSP Residual norm 2.464207645097e-01 
     32 KSP Residual norm 2.462183639920e-01 
     33 KSP Residual norm 2.455905791313e-01 
     34 KSP Residual norm 2.451854252259e-01 
     35 KSP Residual norm 2.448229307372e-01 
     36 KSP Residual norm 2.443034442888e-01 
     37 KSP Residual norm 2.438105093343e-01 
     38 KSP Residual norm 2.433595693236e-01 
     39 KSP Residual norm 2.429534443884e-01 
     40 KSP Residual norm 2.424206085500e-01 
     41 KSP Residual norm 2.419452288663e-01 
     42 KSP Residual norm 2.414850410731e-01 
     43 KSP Residual norm 2.410399478060e-01 
     44 KSP Residual norm 2.405233099766e-01 
     45 KSP Residual norm 2.400503553030e-01 
     46 KSP Residual norm 2.393372559227e-01 
     47 KSP Residual norm 2.384644328922e-01 
     48 KSP Residual norm 2.380008005216e-01 
     49 KSP Residual norm 2.375562657607e-01 
     50 KSP Residual norm 2.370918283607e-01 
     51 KSP Residual norm 2.364936556986e-01 
     52 KSP Residual norm 2.360254191252e-01 
     53 KSP Residual norm 2.354211609660e-01 
     54 KSP Residual norm 2.347936517818e-01 
     55 KSP Residual norm 2.341842276388e-01 
     56 KSP Residual norm 2.335036997089e-01 
     57 KSP Residual norm 2.327748632564e-01 
     58 KSP Residual norm 2.320943279270e-01 
     59 KSP Residual norm 2.312474109829e-01 
     60 KSP Residual norm 2.304501207097e-01 
     61 KSP Residual norm 2.302575606652e-01 
     62 KSP Residual norm 2.300702262363e-01 
     63 KSP Residual norm 2.296703743164e-01 
     64 KSP Residual norm 2.294141199019e-01 
     65 KSP Residual norm 2.291373624214e-01 
     66 KSP Residual norm 2.287059099135e-01 
     67 KSP Residual norm 2.282831452569e-01 
     68 KSP Residual norm 2.278602368455e-01 
     69 KSP Residual norm 2.274734189710e-01 
     70 KSP Residual norm 2.269618140690e-01 
     71 KSP Residual norm 2.264436996936e-01 
     72 KSP Residual norm 2.259938760639e-01 
     73 KSP Residual norm 2.255699388609e-01 
     74 KSP Residual norm 2.249300208210e-01 
     75 KSP Residual norm 2.244318199439e-01 
     76 KSP Residual norm 2.239736277532e-01 
     77 KSP Residual norm 2.233707329281e-01 
     78 KSP Residual norm 2.227642652227e-01 
     79 KSP Residual norm 2.223176212768e-01 
     80 KSP Residual norm 2.219353714839e-01 
     81 KSP Residual norm 2.214668196017e-01 
     82 KSP Residual norm 2.210583335258e-01 
     83 KSP Residual norm 2.206779168731e-01 
     84 KSP Residual norm 2.203175658675e-01 
     85 KSP Residual norm 2.198405335770e-01 
     86 KSP Residual norm 2.194616288248e-01 
     87 KSP Residual norm 2.191253542505e-01 
     88 KSP Residual norm 2.186521427887e-01 
     89 KSP Residual norm 2.181519737811e-01 
     90 KSP Residual norm 2.177641798455e-01 
     91 KSP Residual norm 2.175884511111e-01 
     92 KSP Residual norm 2.173582191844e-01 
     93 KSP Residual norm 2.169621175135e-01 
     94 KSP Residual norm 2.167386060825e-01 
     95 KSP Residual norm 2.165065268982e-01 
     96 KSP Residual norm 2.161447449956e-01 
     97 KSP Residual norm 2.158494578995e-01 
     98 KSP Residual norm 2.155106802211e-01 
     99 KSP Residual norm 2.151650565736e-01 
    100 KSP Residual norm 2.147465164914e-01 
    Linear mg_coarse_ solve did not converge due to DIVERGED_ITS iterations 100
 11 KSP Residual norm 1.319784285469e-06 
      Residual norms for mg_coarse_ solve.
      0 KSP Residual norm 7.598658961016e-01 
      1 KSP Residual norm 5.402769240183e-01 
      2 KSP Residual norm 4.510926173811e-01 
      3 KSP Residual norm 4.047780705630e-01 
      4 KSP Residual norm 3.655503827736e-01 
      5 KSP Residual norm 3.339683036794e-01 
      6 KSP Residual norm 3.147933145527e-01 
      7 KSP Residual norm 2.995824451078e-01 
      8 KSP Residual norm 2.839599411186e-01 
      9 KSP Residual norm 2.730595607150e-01 
     10 KSP Residual norm 2.647256077872e-01 
     11 KSP Residual norm 2.560884338345e-01 
     12 KSP Residual norm 2.482159647178e-01 
     13 KSP Residual norm 2.417648327175e-01 
     14 KSP Residual norm 2.364776335343e-01 
     15 KSP Residual norm 2.315190360085e-01 
     16 KSP Residual norm 2.267139062531e-01 
     17 KSP Residual norm 2.229338086169e-01 
     18 KSP Residual norm 2.196810771908e-01 
     19 KSP Residual norm 2.159252072836e-01 
     20 KSP Residual norm 2.130330093365e-01 
     21 KSP Residual norm 2.107426646645e-01 
     22 KSP Residual norm 2.083076371088e-01 
     23 KSP Residual norm 2.061476011236e-01 
     24 KSP Residual norm 2.043931843561e-01 
     25 KSP Residual norm 2.027916411772e-01 
     26 KSP Residual norm 2.012230036123e-01 
     27 KSP Residual norm 1.998221406473e-01 
     28 KSP Residual norm 1.987443280264e-01 
     29 KSP Residual norm 1.977363666265e-01 
     30 KSP Residual norm 1.966499266722e-01 
